pb,industry,peg,name,mc
3.23,Consumer Discretionary,1.08,Harley-Davidson,8289999999.999999
2.35,Financials,2.62,Essex Property Trust,14850000000.0
2.59,Health Care,2.21,PerkinElmer,5500000000.0
1.85,Utilities,41.93,CenterPoint Energy,7650000000.0
4.19,Industrials,1.72,Honeywell International,75390000000.0
2.16,Financials,1.14,Intercontinental Exchange,28910000000.0
2.25,Consumer Discretionary,0.88,AutoNation,5050000000.0
19.62,Health Care,0.68,AbbVie,96170000000.0
8.37,Consumer Discretionary,2.35,Starwood Hotels&Res World,10640000000.0
3.53,Financials,1.97,T.Rowe Price Group,16930000000.0
4.80,Health Care,1.96,Intuitive Surgical,21120000000.0
2.83,Health Care,3.19,Pfizer,189570000000.0
7.71,Consumer Discretionary,2.24,NIKE,103690000000.0
1.12,Financials,3.40,Principal Financial Group,11140000000.0
4.43,Information Technology,1.45,Total System Services,8369999999.999999
